categoria,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,xp,explicacao
ortografia,Qual é a forma correta de escrever?,Escessão,Exceção,Excessão,Escesão,B,50,A forma correta é exceção com X e Ç. É uma palavra derivada do latim exceptio.
ortografia,"Complete: Ele _____ à festa ontem.",foi,fui,foram,for,A,50,Foi é a conjugação correta do verbo ir na 3ª pessoa do singular do pretérito perfeito.
ortografia,Qual palavra está escrita INCORRETAMENTE?,Ansioso,Obseção,Consciência,Exceto,B,75,O correto é obsessão com SS. A palavra vem do latim obsessio.
gramatica,"Identifique o sujeito: ""Os alunos estudaram para a prova.""",Os alunos,estudaram,para a prova,prova,A,50,O sujeito é os alunos pois é quem pratica a ação de estudar.
gramatica,Qual alternativa apresenta um pronome possessivo?,Ele chegou cedo,Meu livro está aqui,Que dia é hoje?,Estudei muito,B,50,Meu é um pronome possessivo indicando posse (livro pertencente a mim).
gramatica,Em qual frase o verbo está no presente do subjuntivo?,Eu estudo todos os dias,Espero que você estude,Você estudou ontem,Estudarei amanhã,B,75,Estude está no presente do subjuntivo usado após espero que para expressar desejo.
interpretacao,"Texto: ""Maria acordou cedo. Olhou pela janela e viu que estava chovendo. Pegou seu guarda-chuva vermelho e saiu para trabalhar."" O que podemos inferir sobre Maria?",Ela não gosta de chuva,Ela é precavida e responsável,Ela chegou atrasada ao trabalho,Ela esqueceu o guarda-chuva,B,100,Maria demonstra ser precavida ao pegar o guarda-chuva e responsável por ir trabalhar mesmo com chuva.
interpretacao,"Texto: ""O desenvolvimento sustentável busca equilibrar crescimento econômico, preservação ambiental e justiça social."" Qual é a ideia central?",Crescimento econômico é mais importante,Desenvolvimento sustentável tem três pilares,Preservação ambiental não importa,Justiça social é impossível,B,100,O texto apresenta os três pilares do desenvolvimento sustentável: economia meio ambiente e sociedade.
redacao,"Qual conectivo melhor completa: ""Estudei muito, _____ passei no concurso.""",mas,porém,portanto,entretanto,C,75,Portanto é um conectivo conclusivo indicando que passar foi consequência de estudar muito.
redacao,Identifique o vício de linguagem: Subir para cima,Ambiguidade,Pleonasmo,Cacofonia,Arcaísmo,B,75,Pleonasmo é a redundância de termos. Subir já indica movimento para cima tornando para cima desnecessário.
